<b>Absurd</b><br/><small>ridiculous, senseless, foolish</small>
<b>Addictive</b><br/><small>obsessive, consuming, captivating</small>
<b>Adorable</b><br/><small>lovable, charming, delightful</small>
<b>Aged</b><br/><small>old, ancient, mature</small>
<b>American</b><br/><small>U.S. Citizen, Yankee, Apple Pie</small>
<b>Ancient</b><br/><small>elderly, old, antique</small>
<b>Animated</b><br/><small>lively, exuberant, spirited</small>
<b>Annoying</b><br/><small>irritating, bothersome, teasing</small>
<b>Appetizing</b><br/><small>appealing, tasty, flavorful</small>
<b>Arrogant</b><br/><small>egotistical, overconfident, conceited</small>
<b>Awesome</b><br/><small>amazing, remarkable, majestic</small>
<b>Awkward</b><br/><small>clumsy, bumbling, uncoordinated</small>
<b>Believable</b><br/><small>trustworthy, credible, convincing</small>
<b>Bogus</b><br/><small>fraudulent, phony, insincere</small>
<b>Boisterous</b><br/><small>loud, rambunctious, rowdy</small>
<b>Bold</b><br/><small>daring, brave, courageous</small>
<b>Boring</b><br/><small>dull, tedious, monotonous</small>
<b>Bright</b><br/><small>brilliant, radiant, shiny</small>
<b>Brilliant</b><br/><small>dazzling, gleaming, intelligent</small>
<b>Busy</b><br/><small>occupied, meddlesome, engrossed</small>
<b>Calm</b><br/><small>peaceful, tranquil, placid</small>
<b>Casual</b><br/><small>easygoing, blase, nonchalant</small>
<b>Charismatic</b><br/><small>alluring, magnetic, charming</small>
<b>Charming</b><br/><small>captivating, enchanting, fascinating</small>
<b>Cheesy</b><br/><small>trashy, tawdry, far-fetched</small>
<b>Chewy</b><br/><small>gummy, rubbery, stringy</small>
<b>Chunky</b><br/><small>lumpy, chubby, bumpy</small>
<b>Classic</b><br/><small>timeless, definitive, vintage</small>
<b>Clean</b><br/><small>washed, pure, tidy</small>
<b>Clueless</b><br/><small>unaware, oblivious, ignorant</small>
<b>Cold</b><br/><small>chilly, icy, aloof</small>
<b>Colorful</b><br/><small>vivid, brilliant, kaleidoscopic</small>
<b>Comfortable</b><br/><small>cozy, snug, restful</small>
<b>Comical</b><br/><small>funny, hilarious, amusing</small>
<b>Complicated</b><br/><small>difficult, complex, involved</small>
<b>Confused</b><br/><small>muddled, bewildered, perplexed</small>
<b>Cool</b><br/><small>chilly, hip, cold-blooded</small>
<b>Corrupt</b><br/><small>dishonest, underhanded, shady</small>
<b>Cosmic</b><br/><small>limitless, planetary, far out</small>
<b>Cosmopolitan</b><br/><small>sophisticated, urbane, well-informed</small>
<b>Courageous</b><br/><small>brave, gallant, dauntless</small>
<b>Cowardly</b><br/><small>fearful, afraid, spineless</small>
<b>Cranky</b><br/><small>crabby, cantankerous, grouchy</small>
<b>Crazed</b><br/><small>insane, wild, deranged</small>
<b>Crazy</b><br/><small>insane, bizarre, wacky</small>
<b>Creative</b><br/><small>imaginative, artistic, original</small>
<b>Creepy</b><br/><small>frightening, slithering, scary</small>
<b>Cruel</b><br/><small>mean, harsh, merciless</small>
<b>Cuddly</b><br/><small>loving, tender, huggable</small>
<b>Cute</b><br/><small>pretty, perky, delightful</small>
<b>Dainty</b><br/><small>delicate, fragile, thin</small>
<b>Dangerous</b><br/><small>risky, chancy, hazardous</small>
<b>Dead</b><br/><small>deceased, expired, unresponsive</small>
<b>Deadly</b><br/><small>fatal, lethal, murderous</small>
<b>Delicate</b><br/><small>dainty, tender, elegant</small>
<b>Delicious</b><br/><small>tasty, pleasing, appetizing</small>
<b>Delightful</b><br/><small>pleasing, enjoyable, charming</small>
<b>Demanding</b><br/><small>difficult, exacting, bothersome</small>
<b>Depressing</b><br/><small>dismal, gloomy, sad</small>
<b>Desperate</b><br/><small>frantic, headlong, reckless</small>
<b>Dignified</b><br/><small>stately, honorable, distinguished</small>
<b>Dirty</b><br/><small>unclean, soiled, impure</small>
<b>Distinguished</b><br/><small>dignified, extraordinary, acclaimed</small>
<b>Disturbing</b><br/><small>unsettling, troubling, worrisome</small>
<b>Dramatic</b><br/><small>exciting, sensational, theatrical</small>
<b>Dreamy</b><br/><small>fanciful, whimsical, heavenly</small>
<b>Dull</b><br/><small>boring, stupid, blunt</small>
<b>Dysfunctional</b><br/><small>impaired, damaged, maladjusted</small>
<b>Earthy</b><br/><small>unrefined, natural, crude</small>
<b>Easy</b><br/><small>effortless, gentle, promiscuous</small>
<b>Eccentric</b><br/><small>peculiar, odd, bizarre</small>
<b>Elitist</b><br/><small>snobbish, arrogant, smug</small>
<b>Emotional</b><br/><small>passionate, moving, volatile</small>
<b>Eternal</b><br/><small>timeless, immortal, perpetual</small>
<b>European</b><br/><small>of Europe, from Europe, about Europe</small>
<b>Exciting</b><br/><small>thrilling, breathtaking, arousing</small>
<b>Exhausting</b><br/><small>weakening, tiring, draining</small>
<b>Expensive</b><br/><small>costly, valuable, exorbitant</small>
<b>Explosive</b><br/><small>bursting, blasting, dangerous</small>
<b>Exquisite</b><br/><small>excellent, refined, flawless</small>
<b>Extreme</b><br/><small>exceptional, superlative, radical</small>
<b>Fabulous</b><br/><small>marvelous, wonderful, incredible</small>
